Venue Name,Type,Neighborhood,Borough/Area,Location,Fan Countries,Description,Venue URL
Playwright Irish Pub,Bar,Midtown,Manhattan,"Midtown, Manhattan",Spain,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of Spain.",https://watchworldcup.nyc/venues/playwright-irish-pub-35th
Pocha 32,Restaurant,Koreatown,Manhattan,"Koreatown, Manhattan",Korea Republic,"Restaurant in Koreatown, Manhattan; listed as a World Cup watch venue for fans of Korea Republic.",https://watchworldcup.nyc/venues/pocha-32
Pollos a la Brasa Mario,Restaurant,Jackson Heights,Queens,"Jackson Heights, Queens",Colombia,"Restaurant in Jackson Heights, Queens; listed as a World Cup watch venue for fans of Colombia.",https://watchworldcup.nyc/venues/pollos-a-la-brasa-mario
Ponty Bistro Harlem,Restaurant,Harlem,Manhattan,"Harlem, Manhattan",Senegal; France,"Restaurant in Harlem, Manhattan; listed as a World Cup watch venue for fans of Senegal; France.",https://watchworldcup.nyc/venues/ponty-bistro-harlem
Porte��o (Elmhurst),Restaurant,Elmhurst,Queens,"Elmhurst, Queens",Argentina,"Restaurant in Elmhurst, Queens; listed as a World Cup watch venue for fans of Argentina.",https://watchworldcup.nyc/venues/porte-o-elmhurst
Printers Alley,Bar,Times Square,Manhattan,"Times Square, Manhattan",England,"Bar in Times Square, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/printers-alley
Prizreni Grill,Restaurant,Morris Park,Bronx,"Morris Park, Bronx",,"Restaurant in Morris Park, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/prizreni-grill
Prohibition,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",United States; England,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/prohibition
Pyza,Restaurant,Greenpoint,Brooklyn,"Greenpoint, Brooklyn",,"Restaurant in Greenpoint, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/pyza
Radegast Hall & Biergarten,Bar,Williamsburg,Brooklyn,"Williamsburg, Brooklyn",Germany,"Bar in Williamsburg, Brooklyn; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/radegast-hall-biergarten
Raizes Churrascaria,Restaurant,Greenpoint,Brooklyn,"Greenpoint, Brooklyn",Portugal,"Restaurant in Greenpoint, Brooklyn; listed as a World Cup watch venue for fans of Portugal.",https://watchworldcup.nyc/venues/raizes-churrascaria
Rathbones Pub,Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/rathbones-pub
Reichenbach Hall,Bar,Midtown,Manhattan,"Midtown, Manhattan",Germany,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/reichenbach-hall
Reservoir,Bar,Greenwich Village,Manhattan,"Greenwich Village, Manhattan",,"Bar in Greenwich Village, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/reservoir
Retro Polish Restaurant,Restaurant,Greenpoint,Brooklyn,"Greenpoint, Brooklyn",,"Restaurant in Greenpoint, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/retro-polish-restaurant
Riazor Blues,Restaurant,Jackson Heights,Queens,"Jackson Heights, Queens",Spain,"Restaurant in Jackson Heights, Queens; listed as a World Cup watch venue for fans of Spain.",https://watchworldcup.nyc/venues/riazor-blues
Ribalta,Bar,Greenwich Village,Manhattan,"Greenwich Village, Manhattan",,"Bar in Greenwich Village, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/ribalta
Rice N Beans,Restaurant,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",Brazil,"Restaurant in Hell's Kitchen, Manhattan; listed as a World Cup watch venue for fans of Brazil.",https://watchworldcup.nyc/venues/rice-n-beans
Rinc��n Melania,Restaurant,Sunnyside,Queens,"Sunnyside, Queens",Ecuador,"Restaurant in Sunnyside, Queens; listed as a World Cup watch venue for fans of Ecuador.",https://watchworldcup.nyc/venues/rincon-melania
Rincon Salvadore��o,Restaurant,Jamaica,Queens,"Jamaica, Queens",Ecuador,"Restaurant in Jamaica, Queens; listed as a World Cup watch venue for fans of Ecuador.",https://watchworldcup.nyc/venues/rincon-salvadore-o
Rio de la Plata Bakery,Restaurant,Elmhurst,Queens,"Elmhurst, Queens",Argentina,"Restaurant in Elmhurst, Queens; listed as a World Cup watch venue for fans of Argentina.",https://watchworldcup.nyc/venues/rio-de-la-plata-bakery
Rivercrest,Bar,Long Island City,Queens,"Long Island City, Queens",United States; England; Brazil,"Bar in Long Island City, Queens; listed as a World Cup watch venue for fans of United States; England; Brazil.",https://watchworldcup.nyc/venues/rivercrest
Rocco's Sports & Rec,Bar,NoHo,Manhattan,"NoHo, Manhattan",,"Bar in NoHo, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/roccos-sports-rec
Roebling Sporting Club,Bar,Williamsburg,Brooklyn,"Williamsburg, Brooklyn",England; United States,"Bar in Williamsburg, Brooklyn; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/roebling-sporting-club
Rosie O'Grady's,Bar,Midtown,Manhattan,"Midtown, Manhattan",United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/rosie-ogradys
Rosie's Sports Pub & Grill,Bar,Midtown,Manhattan,"Midtown, Manhattan",United States; England,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/rosies-sports-pub-grill
Rudar Club,Cultural Center,Astoria,Queens,"Astoria, Queens",Croatia,"Cultural Center in Astoria, Queens; listed as a World Cup watch venue for fans of Croatia.",https://watchworldcup.nyc/venues/rudar-club
Ryan's Daughter,Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",England,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/ryans-daughter
San Antonio Bakery II,Restaurant,Astoria,Queens,"Astoria, Queens",,"Restaurant in Astoria, Queens; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/san-antonio-bakery-ii
Sea Witch,Bar,South Slope,Brooklyn,"South Slope, Brooklyn",United States,"Bar in South Slope, Brooklyn; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/sea-witch
Seabra's Marisqueira,Restaurant,Ironbound,Newark,"Ironbound, Newark",Portugal,"Restaurant in Ironbound, Newark; listed as a World Cup watch venue for fans of Portugal.",https://watchworldcup.nyc/venues/seabras-marisqueira
Sean's Bar & Kitchen,Bar,Midtown,Manhattan,"Midtown, Manhattan",,"Bar in Midtown, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/seans-bar-kitchen
Sek'end Sun,Bar,Astoria,Queens,"Astoria, Queens",United States,"Bar in Astoria, Queens; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/sekend-sun
Seven Sins,Bar,Gramercy,Manhattan,"Gramercy, Manhattan",England,"Bar in Gramercy, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/seven-sins
Shillelagh Tavern,Bar,Astoria,Queens,"Astoria, Queens",United States; England,"Bar in Astoria, Queens; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/shillelagh-tavern
Sl��inte Bar & Lounge,Bar,NoHo,Manhattan,"NoHo, Manhattan",,"Bar in NoHo, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/slainte-bar-lounge
Smithfield Downtown (aka The Smith),Bar,East Village,Manhattan,"East Village, Manhattan",United States; England,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/smithfield-downtown-aka-the-smith
Smithfield Hall NYC,Bar,Chelsea,Manhattan,"Chelsea, Manhattan",England; Scotland; Spain,"Bar in Chelsea, Manhattan; listed as a World Cup watch venue for fans of England; Scotland; Spain.",https://watchworldcup.nyc/venues/smithfield-hall-nyc
Soccer Tavern,Bar,Sunset Park,Brooklyn,"Sunset Park, Brooklyn",,"Bar in Sunset Park, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/soccer-tavern
Socceria,Bar,Greenpoint,Brooklyn,"Greenpoint, Brooklyn",,"Bar in Greenpoint, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/socceria
Sofreh,Restaurant,Prospect Heights,Brooklyn,"Prospect Heights, Brooklyn",Iran,"Restaurant in Prospect Heights, Brooklyn; listed as a World Cup watch venue for fans of Iran.",https://watchworldcup.nyc/venues/sofreh
Spuyten Duyvil,Bar,Williamsburg,Brooklyn,"Williamsburg, Brooklyn",Belgium; Germany,"Bar in Williamsburg, Brooklyn; listed as a World Cup watch venue for fans of Belgium; Germany.",https://watchworldcup.nyc/venues/spuyten-duyvil
Stan's Sports Bar,Bar,Concourse,Bronx,"Concourse, Bronx",United States,"Bar in Concourse, Bronx; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/stans-sports-bar
Stout NYC (FiDi),Bar,Financial District,Manhattan,"Financial District, Manhattan",England,"Bar in Financial District, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/stout-nyc-fidi
Stout NYC (Grand Central),Bar,Midtown,Manhattan,"Midtown, Manhattan",United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/stout-nyc-grand-central
Stout NYC (Midtown),Bar,Midtown,Manhattan,"Midtown, Manhattan",England; United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/stout-nyc-midtown
Stout NYC (Penn Station),Bar,Midtown,Manhattan,"Midtown, Manhattan",United States; England,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/stout-nyc-penn-station
Sweet Afton,Bar,Astoria,Queens,"Astoria, Queens",United States,"Bar in Astoria, Queens; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/sweet-afton
Taci's Beyti,Restaurant,Midwood,Brooklyn,"Midwood, Brooklyn",T��rkiye,"Restaurant in Midwood, Brooklyn; listed as a World Cup watch venue for fans of T��rkiye.",https://watchworldcup.nyc/venues/tacis-beyti
Tacombi Sunset Park,Restaurant,Sunset Park,Brooklyn,"Sunset Park, Brooklyn",Mexico,"Restaurant in Sunset Park, Brooklyn; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/tacombi-sunset-park
Tacos El Bronco,Restaurant,Sunset Park,Brooklyn,"Sunset Park, Brooklyn",Mexico,"Restaurant in Sunset Park, Brooklyn; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/tacos-el-bronco
Tacos Matamoros,Restaurant,Sunset Park,Brooklyn,"Sunset Park, Brooklyn",Mexico,"Restaurant in Sunset Park, Brooklyn; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/tacos-matamoros
Tagine Dining Gallery,Restaurant,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",Morocco,"Restaurant in Hell's Kitchen, Manhattan; listed as a World Cup watch venue for fans of Morocco.",https://watchworldcup.nyc/venues/tagine-dining-gallery
Taqueria Diana (Orchard),Restaurant,Lower East Side,Manhattan,"Lower East Side, Manhattan",Mexico,"Restaurant in Lower East Side, Manhattan; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/taqueria-diana-orchard
Tavern on Third,Bar,Kips Bay,Manhattan,"Kips Bay, Manhattan",England; United States,"Bar in Kips Bay, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/tavern-on-third
The Ainsworth Midtown,Bar,Chelsea,Manhattan,"Chelsea, Manhattan",United States; England,"Bar in Chelsea, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-ainsworth-midtown
The Ashford,Bar,Downtown,Jersey City,"Downtown, Jersey City",United States; England,"Bar in Downtown, Jersey City; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-ashford
The Backyard at Hudson Yards,Public Viewing,Hudson Yards,Manhattan,"Hudson Yards, Manhattan",,"Public Viewing in Hudson Yards, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/backyard-hudson-yards
The Bespoken,Bar,Forest Hills,Queens,"Forest Hills, Queens",United States; England,"Bar in Forest Hills, Queens; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-bespoken
The Bowery Beer Garden,Beer Garden,Lower East Side,Manhattan,"Lower East Side, Manhattan",,"Beer Garden in Lower East Side, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-bowery-beer-garden
The Brewery Bar & Kitchen,Bar,Woodside,Queens,"Woodside, Queens",United States,"Bar in Woodside, Queens; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/the-brewery-bar-kitchen
The Canuck,Bar,Chelsea,Manhattan,"Chelsea, Manhattan",Canada,"Bar in Chelsea, Manhattan; listed as a World Cup watch venue for fans of Canada.",https://watchworldcup.nyc/venues/the-canuck
The Churchill Tavern,Bar,NoMad,Manhattan,"NoMad, Manhattan",England,"Bar in NoMad, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-churchill-tavern
The Crown Inn,Bar,Crown Heights,Brooklyn,"Crown Heights, Brooklyn",United States; England,"Bar in Crown Heights, Brooklyn; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-crown-inn
The Dead Poet,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",England,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-dead-poet
The Dead Rabbit,Bar,Financial District,Manhattan,"Financial District, Manhattan",,"Bar in Financial District, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-dead-rabbit
The Dog and Bone,Bar,Kips Bay,Manhattan,"Kips Bay, Manhattan",England,"Bar in Kips Bay, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-dog-and-bone
The Dram Shop,Bar,Park Slope,Brooklyn,"Park Slope, Brooklyn",,"Bar in Park Slope, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-dram-shop
The Dublin House,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-dublin-house
The Eagle Inn,Bar,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn",England,"Bar in Bay Ridge, Brooklyn; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-eagle-inn
The Ellington,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",United States,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/the-ellington
The Gael Pub,Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",England,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-gael-pub
The Gaf West,Bar,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan",England,"Bar in Hell's Kitchen, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-gaf-west
The Gate,Bar,Park Slope,Brooklyn,"Park Slope, Brooklyn",,"Bar in Park Slope, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-gate
The Globe Pub,Bar,Gramercy,Manhattan,"Gramercy, Manhattan",England; United States,"Bar in Gramercy, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/the-globe-pub
The Grafton,Bar,East Village,Manhattan,"East Village, Manhattan",,"Bar in East Village, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-grafton
The Hairy Lemon,Bar,East Village,Manhattan,"East Village, Manhattan",Australia,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of Australia.",https://watchworldcup.nyc/venues/the-hairy-lemon
The Hop Shoppe,Bar,St. George,Staten Island,"St. George, Staten Island",,"Bar in St. George, Staten Island; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-hop-shoppe
The Hutton,Restaurant,The Heights,Jersey City,"The Heights, Jersey City",,"Restaurant in The Heights, Jersey City; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-hutton
The Irish American Pub,Bar,Financial District,Manhattan,"Financial District, Manhattan",England,"Bar in Financial District, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-irish-american-pub
The Keep,Bar,Ridgewood,Queens,"Ridgewood, Queens",United States; England,"Bar in Ridgewood, Queens; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-keep
The Monro Pub,Bar,Park Slope,Brooklyn,"Park Slope, Brooklyn",England; Scotland; United States,"Bar in Park Slope, Brooklyn; listed as a World Cup watch venue for fans of England; Scotland; United States.",https://watchworldcup.nyc/venues/the-monro-pub
The Parlour,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",England,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-parlour
The Penrose,Bar,Upper East Side,Manhattan,"Upper East Side, Manhattan",England,"Bar in Upper East Side, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-penrose
The Perfect Pint,Bar,Theater District,Manhattan,"Theater District, Manhattan",England,"Bar in Theater District, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-perfect-pint
The Pig 'n' Whistle on 3rd,Bar,Midtown East,Manhattan,"Midtown East, Manhattan",England,"Bar in Midtown East, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/the-pig-n-whistle-on-3rd
The Public House,Bar,Midtown East,Manhattan,"Midtown East, Manhattan",United States,"Bar in Midtown East, Manhattan; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/the-public-house
The Rambling House,Bar,Woodlawn,Bronx,"Woodlawn, Bronx",,"Bar in Woodlawn, Bronx; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-rambling-house
The Red Lion,Bar,Greenwich Village,Manhattan,"Greenwich Village, Manhattan",England; United States; Scotland,"Bar in Greenwich Village, Manhattan; listed as a World Cup watch venue for fans of England; United States; Scotland.",https://watchworldcup.nyc/venues/the-red-lion
The Soccer Republic,Bar,Garment District,Manhattan,"Garment District, Manhattan",Brazil; Argentina; United States,"Bar in Garment District, Manhattan; listed as a World Cup watch venue for fans of Brazil; Argentina; United States.",https://watchworldcup.nyc/venues/the-soccer-republic
The Sparrow Tavern,Bar,Astoria,Queens,"Astoria, Queens",United States,"Bar in Astoria, Queens; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/the-sparrow-tavern
The Standings,Bar,East Village,Manhattan,"East Village, Manhattan",United States; England,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-standings
The Three Monkeys,Bar,Midtown West,Manhattan,"Midtown West, Manhattan",England; United States,"Bar in Midtown West, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/the-three-monkeys
The Village Pourhouse,Bar,East Village,Manhattan,"East Village, Manhattan",United States; England,"Bar in East Village, Manhattan; listed as a World Cup watch venue for fans of United States; England.",https://watchworldcup.nyc/venues/the-village-pourhouse
The Wicked Monk,Bar,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn",,"Bar in Bay Ridge, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-wicked-monk
The Wicked Wolf,Bar,Throggs Neck,Bronx,"Throggs Neck, Bronx",United States,"Bar in Throggs Neck, Bronx; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/the-wicked-wolf
The Windjammer,Bar,Upper West Side,Manhattan,"Upper West Side, Manhattan",England; United States,"Bar in Upper West Side, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/the-windjammer
The Wolfhound,Bar,Astoria,Queens,"Astoria, Queens",,"Bar in Astoria, Queens; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/the-wolfhound
Tierras Colombianas,Restaurant,Jackson Heights,Queens,"Jackson Heights, Queens",Colombia,"Restaurant in Jackson Heights, Queens; listed as a World Cup watch venue for fans of Colombia.",https://watchworldcup.nyc/venues/tierras-colombianas
Time Out Market DUMBO,Public Viewing,DUMBO,Brooklyn,"DUMBO, Brooklyn",,"Public Viewing in DUMBO, Brooklyn; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/time-out-market-dumbo
T��r na n��g (Penn Station),Bar,Midtown,Manhattan,"Midtown, Manhattan",England; United States,"Bar in Midtown, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/t-r-na-n-g-penn-station
Tropical Restaurant,Restaurant,Woodside,Queens,"Woodside, Queens",,"Restaurant in Woodside, Queens; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/tropical-restaurant-woodside
Turkey's Nest Tavern,Bar,Williamsburg,Brooklyn,"Williamsburg, Brooklyn",United States,"Bar in Williamsburg, Brooklyn; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/turkeys-nest-tavern
Turnmill NYC,Bar,Flatiron,Manhattan,"Flatiron, Manhattan",England; United States,"Bar in Flatiron, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/turnmill-nyc
Ulysses Folk House,Bar,Financial District,Manhattan,"Financial District, Manhattan",England,"Bar in Financial District, Manhattan; listed as a World Cup watch venue for fans of England.",https://watchworldcup.nyc/venues/ulysses-folk-house
Via Brasil,Restaurant,Midtown,Manhattan,"Midtown, Manhattan",Brazil,"Restaurant in Midtown, Manhattan; listed as a World Cup watch venue for fans of Brazil.",https://watchworldcup.nyc/venues/via-brasil
Whiskey Tavern,Bar,Chinatown,Manhattan,"Chinatown, Manhattan",England; United States,"Bar in Chinatown, Manhattan; listed as a World Cup watch venue for fans of England; United States.",https://watchworldcup.nyc/venues/whiskey-tavern
White Horse Tavern,Bar,West Village,Manhattan,"West Village, Manhattan",,"Bar in West Village, Manhattan; listed as a World Cup watch venue.",https://watchworldcup.nyc/venues/white-horse-tavern
Wicked Wolf Tavern,Bar,Waterfront,Hoboken,"Waterfront, Hoboken",United States,"Bar in Waterfront, Hoboken; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/wicked-wolf-tavern
Xochimilco Family Restaurant,Restaurant,Melrose,Bronx,"Melrose, Bronx",Mexico,"Restaurant in Melrose, Bronx; listed as a World Cup watch venue for fans of Mexico.",https://watchworldcup.nyc/venues/xochimilco-family-restaurant
Yankee Tavern,Bar,Concourse,Bronx,"Concourse, Bronx",United States,"Bar in Concourse, Bronx; listed as a World Cup watch venue for fans of United States.",https://watchworldcup.nyc/venues/yankee-tavern
Zeppelin Hall Biergarten,Beer Garden,Liberty State Park,Jersey City,"Liberty State Park, Jersey City",Germany; United States,"Beer Garden in Liberty State Park, Jersey City; listed as a World Cup watch venue for fans of Germany; United States.",https://watchworldcup.nyc/venues/zeppelin-hall-biergarten
Zum Schneider World Cup Pop-Up,Pop-Up,Greenpoint,Brooklyn,"Greenpoint, Brooklyn",Germany,"Pop-Up in Greenpoint, Brooklyn; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/zum-schneider-world-cup-pop-up
Zum Stammtisch,Restaurant,Glendale,Queens,"Glendale, Queens",Germany,"Restaurant in Glendale, Queens; listed as a World Cup watch venue for fans of Germany.",https://watchworldcup.nyc/venues/zum-stammtisch
